site;sample;rep
BIENVILLE_2023;33;4
BIENVILLE_2023;33;5
BIENVILLE_2023;33;6
LLM_2023;1;1
LLM_2023;1;2
LLM_2023;1;3
LLM_2023;1;4
LLM_2023;1;5
LLM_2023;1;6
LLM_2023;2;1
LLM_2023;2;2
LLM_2023;2;3
LLM_2023;2;4
LLM_2023;2;5
LLM_2023;2;6
LLM_2023;3;1
LLM_2023;3;2
LLM_2023;3;3
LLM_2023;3;4
LLM_2023;3;5
LLM_2023;3;6
LLM_2023;4;1
LLM_2023;4;2
LLM_2023;4;3
LLM_2023;4;4
LLM_2023;4;5
LLM_2023;4;6
LLM_2023;5;1
LLM_2023;5;2
LLM_2023;5;3
LLM_2023;5;4
LLM_2023;5;5
LLM_2023;5;6
LLM_2023;6;1
LLM_2023;6;2
LLM_2023;6;3
LLM_2023;6;4
LLM_2023;6;5
LLM_2023;6;6
LLM_2023;7;1
LLM_2023;7;2
LLM_2023;7;3
LLM_2023;7;4
LLM_2023;7;5
LLM_2023;7;6
LLM_2023;8;1
LLM_2023;8;2
LLM_2023;8;3
LLM_2023;8;4
LLM_2023;8;5
LLM_2023;8;6
LLM_2023;9;1
LLM_2023;9;2
LLM_2023;9;3
LLM_2023;9;4
LLM_2023;9;5
LLM_2023;9;6
LLM_2023;10;1
LLM_2023;10;2
LLM_2023;10;3
LLM_2023;10;4
LLM_2023;10;5
LLM_2023;10;6
LLM_2023;11;1
LLM_2023;11;2
LLM_2023;11;3
LLM_2023;11;4
LLM_2023;11;5
LLM_2023;11;6
LLM_2023;12;1
LLM_2023;12;2
LLM_2023;12;3
LLM_2023;12;4
LLM_2023;12;5
LLM_2023;12;6
NASTA_2023;1;1
NASTA_2023;1;2
NASTA_2023;1;3
NASTA_2023;1;4
NASTA_2023;1;5
NASTA_2023;1;6
NASTA_2023;2;1
NASTA_2023;2;2
NASTA_2023;2;3
NASTA_2023;2;4
NASTA_2023;2;5
NASTA_2023;2;6
NASTA_2023;3;1
NASTA_2023;3;2
NASTA_2023;3;3
NASTA_2023;3;4
NASTA_2023;3;5
NASTA_2023;3;6
NASTA_2023;4;1
NASTA_2023;4;2
NASTA_2023;4;3
NASTA_2023;4;4
NASTA_2023;4;5
NASTA_2023;4;6
NASTA_2023;5;1
NASTA_2023;5;2
NASTA_2023;5;3
NASTA_2023;5;4
NASTA_2023;5;5
NASTA_2023;5;6
NASTA_2023;6;1
NASTA_2023;6;2
NASTA_2023;6;3
NASTA_2023;6;4
NASTA_2023;6;5
NASTA_2023;6;6
NASTA_2023;7;1
NASTA_2023;7;2
NASTA_2023;7;3
NASTA_2023;7;4
NASTA_2023;7;5
NASTA_2023;7;6
NASTA_2023;8;1
NASTA_2023;8;2
NASTA_2023;8;3
NASTA_2023;8;4
NASTA_2023;8;5
NASTA_2023;8;6
NASTA_2023;9;1
NASTA_2023;9;2
NASTA_2023;9;3
NASTA_2023;9;4
NASTA_2023;9;5
NASTA_2023;9;6
PLLM_2023;1;1
PLLM_2023;1;2
PLLM_2023;1;3
PLLM_2023;1;4
PLLM_2023;1;5
PLLM_2023;1;6
PLLM_2023;2;1
PLLM_2023;2;2
PLLM_2023;2;3
PLLM_2023;2;4
PLLM_2023;2;5
PLLM_2023;2;6
PLLM_2023;3;1
PLLM_2023;3;2
PLLM_2023;3;3
PLLM_2023;3;4
PLLM_2023;3;5
